ID,CAMPAIGNID
19e94418dd235b933c59c70577a13984fd0362da,2b7203e1d1b1c3dd4615bdd0ffe60736
2e1143933a43f5dbbe9c3b289f310559a8c12de5,396ac2a33748bb784077f4112335faa0
92d20ad4f67a5d5107d90e4ee25e1b3d51b885e4,b5b037a78522671b89a2c1b21d9b80c6
beebd7033f6755e42beb2893f412c403e6be9a3d,2b7203e1d1b1c3dd4615bdd0ffe60736
83ce42f6aed813b90f79115bd8f2f33a0b45adca,396ac2a33748bb784077f4112335faa0
e5342cb498c88153968dcf2ef04e3c775bcc54e9,2b7203e1d1b1c3dd4615bdd0ffe60736
e72f7565c19e51faea6335af34d6bfa57a24bb80,396ac2a33748bb784077f4112335faa0
dc73d833f6bbb69b3cb630fea6683537878fe8e0,396ac2a33748bb784077f4112335faa0
0563c1b54cb725c9c51b33c8d30be60dbc920d6a,396ac2a33748bb784077f4112335faa0
982f329487a389a594fb72a720b905b5d9d4ecc3,396ac2a33748bb784077f4112335faa0
8922075c8613f853be9a24ef6ed0505f81b78bfa,396ac2a33748bb784077f4112335faa0
b66d0cb83844b2c1328c761b13792039611c703e,2b7203e1d1b1c3dd4615bdd0ffe60736
7416b698068c1c046f90ee86009bcbdf705f012b,2b7203e1d1b1c3dd4615bdd0ffe60736
321222437a922a9719565c55382218773d874461,2b7203e1d1b1c3dd4615bdd0ffe60736
da4ad7c9a3e3d88de7e5719eaea3ce214a0a2c91,b5b037a78522671b89a2c1b21d9b80c6
8145fee28d56761178686d0dde1e467abc163e7f,2b7203e1d1b1c3dd4615bdd0ffe60736
ea6b36a336cc0398294f4022b7145e15d629f9b2,396ac2a33748bb784077f4112335faa0
5aefbec216f1aca52b6086063c5912ab3488a27f,2b7203e1d1b1c3dd4615bdd0ffe60736
e70230c7fe0f36d90c7950645e0733c0588c4bec,49f0bad299687c62334182178bfd75d8
86acad1f45c16ad3d8b78198670c7c133c2105b7,39060730d62be825ebb599711124309a
84e7077d6ed720d2bc0c3efa9360b02002bc2011,396ac2a33748bb784077f4112335faa0
17ab31473b4a9add8f5bee9bece43b2563032cf2,b5b037a78522671b89a2c1b21d9b80c6
9b9924cbb13aeb2af69a53c828a94c1f0475c0b8,396ac2a33748bb784077f4112335faa0
0810a785eeb36b05a841cb0af2bf620c1d891074,39060730d62be825ebb599711124309a
d42f20c9bfc8eccd6e4fa4aba198f112c9c60054,39060730d62be825ebb599711124309a
276eb8460b2b2f1943f0763593bf9bff0f19bffa,2b7203e1d1b1c3dd4615bdd0ffe60736
f25cfd6f918d8eada0969133dbc245b3dd956ff9,2b7203e1d1b1c3dd4615bdd0ffe60736
151376b9246849dfa6e0a6103215155c6c5f2e5e,2b7203e1d1b1c3dd4615bdd0ffe60736
b24ed2f4bfb5de400d039834640abf9b0ecbf58a,39060730d62be825ebb599711124309a
3a51a1d9f7bd0b62dd12d6250ccc79578f49395a,39060730d62be825ebb599711124309a
4be1117f285410cf3f9f3ebf0515b13b48d104e0,b5b037a78522671b89a2c1b21d9b80c6
e478d03d0871b0f3de2873dd213845501f9352fe,2b7203e1d1b1c3dd4615bdd0ffe60736
71638bd11287d0b1db1adfebf4827fa7aed275f9,396ac2a33748bb784077f4112335faa0
