ID,CAMPAIGNID
4cd8238f66608bd6b53df627d33f69d2fd7e83ea,396ac2a33748bb784077f4112335faa0
2341d2ca61bcfd7e2b2a2dca842ee0a3e71f9f47,396ac2a33748bb784077f4112335faa0
cefa38f5487b96c4aae702528471b36fd2608bc1,b5b037a78522671b89a2c1b21d9b80c6
b8acbc94a1d59a7d79f4632ffd8172514e7a05e2,b5b037a78522671b89a2c1b21d9b80c6
8157865a2fbde918c0149143a6416f16873f3d29,b5b037a78522671b89a2c1b21d9b80c6
c8e0907e19bc5e4c129e167db386ce9c703497a1,396ac2a33748bb784077f4112335faa0
17af507f06051832e6f015aa1d43a7c32cb6e2c4,b5b037a78522671b89a2c1b21d9b80c6
77d238c71a0993c78a8b24a2491d39da4015ce3f,39060730d62be825ebb599711124309a
b80d50f96023aa7c846d8d4848f5797b766bf486,49f0bad299687c62334182178bfd75d8
e07bfe50b51cfc30bec9670e690142d010e33dc5,396ac2a33748bb784077f4112335faa0
4052e0a67ab03dd2782e93d722ffe005aaa4a11c,49f0bad299687c62334182178bfd75d8
7cd4844ba7f9c9055ae1f408d40363355a3946fc,396ac2a33748bb784077f4112335faa0
f50c701803fef028fc9184681b34153e12d4e4b4,49f0bad299687c62334182178bfd75d8
5e8e1f868ee87dcb455d429aad6064aac6f51de1,396ac2a33748bb784077f4112335faa0
635bf8fa4b32f06ce4395972b9fa327bd75a71ae,396ac2a33748bb784077f4112335faa0
feb1bf9e1e7081910d69b3248a1a97cd48b8f86b,b5b037a78522671b89a2c1b21d9b80c6
ce5cafc9a0870ccb0d11b9df348951c56550e016,396ac2a33748bb784077f4112335faa0
cb35f7a4fa8cd0581d58239ccb48585fac7a139f,396ac2a33748bb784077f4112335faa0
c3c76f3b4ec69dc9d02cfb0993c78373e5634471,b5b037a78522671b89a2c1b21d9b80c6
4cb83eed640dc07864d4d2ef788e1f5b66f67267,396ac2a33748bb784077f4112335faa0
fe95d76eba44e2887aa0a24acfae94c13ac1de8c,49f0bad299687c62334182178bfd75d8
f1a24437a26c6c42c335c7eca8a54932a33b48f4,396ac2a33748bb784077f4112335faa0
edf3babc4258d237895c72b5f4a4224e4fa83c96,adbf5a778175ee757c34d0eba4e932bc
72def3e63857d775a892dd951d7264d1d1b9ac35,b5b037a78522671b89a2c1b21d9b80c6
db88bab948542c81b7b6fc0e6a6159997371311d,b5b037a78522671b89a2c1b21d9b80c6
7bf6c245e8af85774426646dcbca937c619e2cd3,39060730d62be825ebb599711124309a
83c162e1d4e3db2784feb821c54d84b26fed8a87,bff149a0b87f5b0e00d9dd364e9ddaa0
cf3993fc3674ba264d23fdac1be75438b7c8abb2,b5b037a78522671b89a2c1b21d9b80c6
be38d15e8bea16d96546f2a6370c642a68f91bdf,b5b037a78522671b89a2c1b21d9b80c6
9ff303ab57812dba07d4d9cead05d20043f1bbec,396ac2a33748bb784077f4112335faa0
a8938106c11b65c5094cfc295cc57b8a9e526374,b5b037a78522671b89a2c1b21d9b80c6
c1a0b03b2f14ff77fe7e2e687029d9c03623f180,39060730d62be825ebb599711124309a
698d3fcd8164481c6e6ed77a0022bba773e68519,adbf5a778175ee757c34d0eba4e932bc
830b1090925bc59f773991e4df948f397652af58,1395ad342f7331f6ae81badb2eeb4717
9f9026154aa82ed7467abdb04c61a597ff7827d1,2b7203e1d1b1c3dd4615bdd0ffe60736
d873a2c379b5e028bd0830c3121d4916870a295d,b5b037a78522671b89a2c1b21d9b80c6
7fedb8b4f156b135dbf6ff320e87d28e380ee91c,b5b037a78522671b89a2c1b21d9b80c6
a416bcc1f611b1975dfed2be8a56de808e6a6a37,39060730d62be825ebb599711124309a
95e12874febd984becbf59fb501a71c6e81cb2f1,396ac2a33748bb784077f4112335faa0
3363b2f2d6b8c494091e1634cb5a72fff732676a,396ac2a33748bb784077f4112335faa0
beb7730bf14912b6b3020cea0821901f684e73da,396ac2a33748bb784077f4112335faa0
925b0481ce1721407af69eb0239cf1a6d247dcb2,396ac2a33748bb784077f4112335faa0
fe1c77479efdf9cb374cf89be19a1e6df10ba165,396ac2a33748bb784077f4112335faa0
6dd7e0306d6f0b73973a7246bf4b1e723d42fae6,b5b037a78522671b89a2c1b21d9b80c6
80e972cb5f0f4b2043746dfeb39a366b6ddcd8e6,b5b037a78522671b89a2c1b21d9b80c6
9df37feeda8d43fb476a7ee0e27bf86cddcc3627,49f0bad299687c62334182178bfd75d8
ae17ffb954515e86b92cf0e3001d3d22b0437275,1395ad342f7331f6ae81badb2eeb4717
6a2b6e56c21b323dfb858acd291e793d490f8685,adbf5a778175ee757c34d0eba4e932bc
